CLASS APE,PROTECTION PROFILE EVALUATION,"The evaluation class representing the overall assessment of a protection profile within the Common Criteria framework."
APE_INT,PP introduction,"An element within the Protection Profile Evaluation class, focused on introducing the Protection Profile being evaluated."
APE_CCL,Conformance claims,"An element within the Protection Profile Evaluation class, describing claims related to the conformance of the evaluated protection profile to specified criteria."
APE_SPD,Security problem definition,"An element within the Protection Profile Evaluation class, specifying the security problems or challenges addressed by the evaluated protection profile."
APE_OBJ,Security objectives,"An element within the Protection Profile Evaluation class, outlining the security objectives that the evaluated protection profile aims to achieve."
APE_ECD,Extended components definition,"An element within the Protection Profile Evaluation class, providing an extended definition of the components relevant to the evaluated protection profile."
APE_REQ,Security requirements,"An element within the Protection Profile Evaluation class, detailing the security requirements that the evaluated protection profile imposes on products or systems."
CLASS ASE,SECURITY TARGET EVALUATION,"The evaluation class representing the overall assessment of a security target within the Common Criteria framework."
ASE_INT,ST introduction,"An element within the Security Target Evaluation class, focused on introducing the Security Target being evaluated."
ASE_CCL,Conformance claims,"An element within the Security Target Evaluation class, describing claims related to the conformance of the evaluated security target to specified criteria."
ASE_SPD,Security problem definition,"An element within the Security Target Evaluation class, specifying the security problems or challenges addressed by the evaluated security target."
ASE_OBJ,Security objectives,"An element within the Security Target Evaluation class, outlining the security objectives that the evaluated security target aims to achieve."
ASE_ECD,Extended components definition,"An element within the Security Target Evaluation class, providing an extended definition of the components relevant to the evaluated security target."
ASE_REQ,Security requirements,"An element within the Security Target Evaluation class, detailing the security requirements that the evaluated security target imposes on products or systems."
ASE_TSS,TOE summary specification,"An element within the Security Target Evaluation class, summarizing the technical specifications of the Target of Evaluation (TOE) being evaluated."
CLASS ADV,DEVELOPMENT,"The development class within the Common Criteria framework, focusing on the evaluation of the development aspects of a system or product."
ADV_ARC,Security Architecture,"An element within the Development class, assessing the security architecture of the system or product under evaluation. This involves the examination of the overall structure, components, and interactions to ensure a robust security foundation."
ADV_FSP,Functional specification,"An element within the Development class, evaluating the functional specification of the system or product being developed in the context of security requirements. This includes a thorough review of the documented functionalities and their alignment with security policies."
ADV_IMP,Implementation representation,"An element within the Development class, assessing the implementation representation of the system or product under evaluation. This involves a detailed examination of how the specified security features are implemented and whether they align with the intended design."
ADV_INT,TSF internals,"An element within the Development class, evaluating the internals of the Target of Evaluation (TOE) Security Functions (TSF). This includes a deep dive into the design and implementation details of the TSF to ensure that they meet security requirements and operate as intended."
ADV_SPM,Security policy modelling,"An element within the Development class, assessing the security policy modeling applied during the development of the system or product. This involves examining how security policies are defined, implemented, and enforced within the system."
ADV_TDS,TOE design,"An element within the Development class, evaluating the design aspects of the Target of Evaluation (TOE), including its architecture and security features. This comprehensive assessment ensures that the TOE is designed to meet the specified security requirements and objectives."
CLASS AGD,GUIDANCE DOCUMENTS,"The guidance documents class within the Common Criteria framework, focusing on the evaluation of operational and preparative guidance provided for the system or product."
AGD_OPE,Operational user guidance,"An element within the Guidance Documents class, evaluating the guidance provided for operational users. This includes documentation that helps users understand how to securely operate and interact with the system or product in their day-to-day activities."
AGD_PRE,Preparative procedures,"An element within the Guidance Documents class, assessing preparative procedures documentation. This includes guidance for administrators and operators on how to securely configure, install, and maintain the system or product to meet security requirements."
CLASS ALC,LIFE-CYCLE SUPPORT,"The life-cycle support class within the Common Criteria framework, focusing on the evaluation of support mechanisms throughout the life cycle of a system or product."
ALC_CMC,CM capabilities,"An element within the Life-Cycle Support class, assessing the Configuration Management (CM) capabilities. This involves evaluating the ability of the system or product to manage and control changes to its configuration in a secure and effective manner."
ALC_CMS,CM scope,"An element within the Life-Cycle Support class, assessing the Configuration Management (CM) scope. This involves defining the boundaries and extent of the configuration management activities within the system or product's life cycle."
