Security audit automatic response,FAU_ARP,"This family defines the response to be taken in case of detected events indicative of a potential  security violation."
Security audit data generation,FAU_GEN,"This family defines requirements for recording the occurrence of security relevant events that  take place under TSF control. This family identifies the level of auditing, enumerates the types of  events that shall be auditable by the TSF, and identifies the minimum set of audit-related  information that should be provided within various audit record types."
Security audit analysis,FAU_SAA,"This family defines requirements for automated means that analyze system activity and audit  data looking for possible or real security violations. This analysis may work in support of  intrusion detection, or automatic response to a potential security violation."
Security audit review,FAU_SAR,"This family defines the requirements for tools that are made available to authorized users to  assist in the review of audit data."
Security audit event selection,FAU_SEL,"This family defines requirements to select the set of events to be audited during TOE operation  from the set of all auditable events."
Security audit data storage,FAU_STG,"This family defines the requirements for the TSF to be able to create and maintain a secure audit  trail. Stored audit data refers to those data stored within an audit trail, and not to any audit data  that has been retrieved (to temporary storage) through selection."
Non-repudiation of origin,FCO_NRO,"Non-repudiation of origin ensures that the originator of information cannot successfully deny  having sent the information. This family requires that the TSF provide a method to ensure that a  subject that receives information during a data exchange is provided with evidence of the origin  of the information. This evidence can then be verified by either this subject or other subjects."
Non-repudiation of receipt,FCO_NRR,"Non-repudiation of receipt ensures that the recipient of information cannot successfully deny  receiving the information. This family requires that the TSF provide a method to ensure that a  subject that transmits information during a data exchange is provided with evidence of receipt of  the information. This evidence can then be verified by either this subject or other subjects."
Cryptographic key management,FCS_CKM,"Cryptographic keys must be managed throughout their life cycle. This family is intended to  support that lifecycle and consequently defines requirements for the following activities: cryptographic key generation;cryptographic key distribution;cryptographic key access;  — cryptographic key derivation;  timing and event of cryptographic key destruction.  This family should be included whenever there are functional requirements for the management  of cryptographic keys."
Cryptographic operation,FCS_COP, "In order for a cryptographic operation to function correctly, the operation shall be performed in  accordance with a specified algorithm and with a cryptographic key of a specified size. This family  should be included whenever there are requirements for cryptographic operations to be  performed."
Random bit generation,FCS_RBG, "Components in this family address the requirements for random bit/number generation."
Generation of random numbers,FCS_RNG,"This family defines quality requirements for the generation of random numbers which are  intended to be use for cryptographic purposes."
Access control policy,FDP_ACC,"This family identifies the access control SFPs (by name) and defines the scope of control of the  policies that form the identified access control portion of the SFRs related to the SFP. This scope  of control is characterized by three sets: the subjects under control of the policy, the objects under  control of the policy, and the operations among controlled subjects and controlled objects that  are covered by the policy. The criteria allow multiple policies to exist, each having a unique name.  This is accomplished by iterating components from this family once for each named access control  policy. The rules that define the functionality of an access control SFP will be defined by other  families such as Access control functions (FDP_ACF) and Export from the TOE (FDP_ETC). The  names of the access control SFPs identified here in Access control policy (FDP_ACC) are meant to  be used throughout the remainder of the functional components that have an operation that calls  for an assignment or selection of an “access control SFP.”"
Access control functions,FDP_ACF,"This family describes the rules for the specific functions that can implement an access control  policy named in Access control policy (FDP_ACC). Access control policy (FDP_ACC) specifies the  scope of control of the policy."
Data authentication,FDP_DAU,"Data authentication permits an entity to accept responsibility for the authenticity of information.  This family provides a method of providing a guarantee of the validity of a specific unit of data  that can be subsequently used to verify that the information content has not been forged or  fraudulently modified. In contrast to FAU: Security audit, this family is intended to be applied to  "static" data rather than data that is being transferred."
Export from the TOE,FDP_ETC,"This family defines functions for TSF-mediated exporting of user data from the TOE such that its  security attributes and protection either can be explicitly preserved or can be ignored once it has  been exported. It is concerned with limitations on export and with the association of security  attributes with the exported user data."
Information flow control policy,FDP_IFC,"This family identifies the information flow control SFPs (by name) and defines the scope of  control for each named information flow control SFP. This scope of control is characterized by  three sets: the subjects under control of the policy, the information under control of the policy,  and operations which cause controlled information to flow to and from controlled subjects  covered by the policy. The criteria allow multiple policies to exist, each having a unique name.  This is accomplished by iterating components from this family once for each named information  flow control policy. The rules that define the functionality of an information flow control SFP will  be defined by other families such as Information flow control functions (FDP_IFF) and Export  from the TOE (FDP_ETC). The names of the information flow control SFPs identified here in  Information flow control policy (FDP_IFC) are meant to be used throughout the remainder of the  functional components that have an operation that calls for an assignment or selection of an  “information flow control SFP.”"
Information flow control functions,FDP_IFF, "This family describes the rules for the specific functions that can implement the information flow  control SFPs named in Information flow control policy (FDP_IFC), which also specifies the scope  of control of the policy. It consists of two kinds of requirements: one addressing the common  information flow function issues, and a second addressing illicit information flows (i.e. covert  channels). This division arises because the issues concerning illicit information flows are, in some  sense, orthogonal to the rest of an information flow control SFP. By their nature, they circumvent  the information flow control SFP resulting in a violation of the policy. As such, they require special  functions to either limit or prevent their occurrence."
Information Retention Control,FDP_IRC,"The “Information retention control” family addresses a basic need in secure information  processing and storage applications for the secure management of data no longer needed by the  TOE to perform its operations, but that is still stored in the TOE.  The historical view of IT systems as data storage systems suggested that once entered, data would  seldom be deleted from the system, and if it was deleted, this would mainly be because of storage  exhaustion problems.  However, in a multilateral or high security environment it is important to minimize the  replication of data, as well as the time period during which data is stored in the system. It is also  possible that users can want their IT products to avoid retaining sensitive data that they consider  to be exploitable by third parties or that can threaten privacy. FDP_IRC may help users to gain  confidence that the product is secure by deleting every copy of the data when it is no longer  needed."
Import from outside of the TOE,FDP_ITC,"This family defines the mechanisms for TSF-mediated importing of user data into the TOE such  that it has appropriate security attributes and is appropriately protected. It is concerned with  limitations on importation, determination of desired security attributes, and interpretation of  security attributes associated with the user data."
Internal TOE transfer,FDP_ITT, "This family provides requirements that address protection of user data when it is transferred  between separated parts of a TOE across an internal channel. This may be contrasted with the  Inter-TSF user data confidentiality transfer protection (FDP_UCT) and Inter-TSF user data  integrity transfer protection (FDP_UIT) families, which provide protection for user data when it  is transferred between distinct TSFs across an external channel, and Export from the TOE  (FDP_ETC) and Import from outside of the TOE (FDP_ITC), which address TSF-mediated transfer  of data to or from outside the TOE."
Residual information protection,FDP_RIP, "This family addresses the need to ensure that any data contained in a resource is not available  when the resource is de-allocated from one object and reallocated to a different object. This family  requires protection for any data contained in a resource that has been logically deleted or  released but may still be present within the TSF-controlled resource which in turn may be reallocated to another object."
Rollback,FDP_ROL, "The rollback operation involves undoing the last operation or a series of operations, bounded by  some limit, such as a period of time, and return to a previous known state. Rollback provides the ability to undo the effects of an operation or series of operations to preserve the integrity of the  user data."
Stored data confidentiality,FDP_SDC, "This family provides requirements that address protection of user data confidentiality while the  data is stored within memory areas protected by the TSF. The TSF provides access to the data in  the memory through the specified interfaces only and prevents compromise of their information  bypassing these interfaces. It complements the family Stored data integrity (FDP_SDI) which  protects the user data from integrity errors while being stored in the memory."
Stored data integrity,FDP_SDI, "This family provides requirements that address protection of user data while it is stored within  containers controlled by the TSF. Integrity errors may affect user data stored in memory, or in a  storage device. This family differs from Internal TOE transfer (FDP_ITT) which protects the user  data from integrity errors while being transferred within the TOE."
Inter-TSF user data confidentiality transfer protection,FDP_UCT, "This family defines the requirements for ensuring the confidentiality of user data when it is  transferred using an external channel between the TOE and another trusted IT product."
Inter-TSF user data integrity transfer protection,FDP_UIT,"This family defines the requirements for providing integrity for user data in transit between the  TOE and another trusted IT product and recovering from detectable errors. At a minimum, this  family monitors the integrity of user data for modifications. Furthermore, this family supports  different ways of correcting detected integrity errors."
Authentication failures,FIA_AFL,"This family contains requirements for defining values for some number of unsuccessful  authentication attempts and TSF actions in cases of authentication attempt failures. Parameters  include, but are not limited to, the number of failed authentication attempts and time thresholds."
Authentication proof of identity,FIA_API, "This family defines functions provided by the TOE to prove its identity and so allow for  verification of the TOE by an external entity in the TOE’s IT environment."
User attribute definition,FIA_ATD,  "All authorized users may have a set of security attributes, other than the user's identity, that is  used to enforce the SFRs. This family defines the requirements for associating user security  attributes with users as needed to support the TSF in making security decisions."
Specification of secrets,FIA_SOS,  "This family defines requirements for mechanisms that enforce defined quality metrics on  provided secrets and generate secrets to satisfy the defined metric."
User authentication,FIA_UAU, "This family defines the types of user authentication mechanisms supported by the TSF. This  family also defines the required attributes on which the user authentication mechanisms be  based."
